//Index   ItemIndex   ItemLevel   MonsterClass 	 TopHitCount  SpecialValue	G_Type	G_Num	Coin1	Coin2	Coin3   Comment
0         7179        0           *		 *            * 		0	0	0	0	0	//Box of Luck
85        *           *           *              *            44         	0	0	0	0	0	//Double Goer Golden Chest 3
86        *           *           *              *            45         	0	0	0	0	0	//Double Goer Golden Chest 4
87        *           *           *              *            46         	0	0	0	0	0	//Double Goer Golden Chest 5
88        *           *           *              *            47         	0	0	0	0	0	//Imperial Guardian Side Boss 1
89        *           *           *              *            48         	0	0	0	0	0	//Imperial Guardian Side Boss 2
90        *           *           *              *            49         	0	0	0	0	0	//Imperial Guardian Side Boss 3
91        *           *           *              *            50         	0	0	0	0	0	//Imperial Guardian Side Boss 4
92        *           *           *              *            51         	0	0	0	0	0	//Imperial Guardian Side Boss 5
93        *           *           *              *            52         	0	0	0	0	0	//Imperial Guardian Main Boss 1
94        *           *           *              *            53         	0	0	0	0	0	//Imperial Guardian Main Boss 2
95        *           *           *              *            54         	0	0	0	0	0	//Imperial Guardian Main Boss 3
96        *           *           *              *            55         	0	0	0	0	0	//Imperial Guardian Main Boss 4
97        *           *           *              *            56         	0	0	0	0	0	//Imperial Guardian Main Boss 5
98        7179        14          *              *            *         	0	0	0	0	0	//Blue Luck Pouch
99        7179        15          *              *            *         	0	0	0	0	0	//Red Luck Pouch
100       7291        *           *              *            *         	0	0	0	0	0	//Golden Box
101       7292        *           *              *            *         	0	0	0	0	0	//Silver Box
102       7309        *           *              *            *         	0	0	0	0	0	//Shining Jewelry Case
103       7310        *           *              *            *         	0	0	0	0	0	//Elegant Jewelry Case
104       7311        *           *              *            *         	0	0	0	0	0	//Steel Jewelry Case
105       7312        *           *              *            *         	0	0	0	0	0	//Old Jewelry Case
106       *           *           561            *            *         	0	0	0	0	0	//Medusa
107       *           *           *              *            57         	0	0	0	0	0	//Crywolf
108       *           *           43             *            *         	0	0	0	0	0	//Golden Budge Dragon
109       *           *           78             *            *         	0	0	0	0	0	//Golden Goblin
110       *           *           54             *            *         	0	0	0	0	0	//Golden Soldier
111       *           *           53             *            *         	0	0	0	0	0	//Golden Titan
112       *           *           79             *            *         	0	0	0	0	0	//Golden Dragon
113       *           *           80             *            *         	0	0	0	0	0	//Golden Lizard King
114       *           *           81             *            *         	0	0	0	0	0	//Golden Vepar
115       *           *           82             *            *         	0	0	0	0	0	//Golden Tantalos
116       *           *           83             *            *         	0	0	0	0	0	//Golden Iron Wheel
117       *           *           502            *            *         	0	0	0	0	0	//Golden Rabbit
118       *           *           493            *            *         	0	0	0	0	0	//Golden Dark Knight
119       *           *           494            *            *         	0	0	0	0	0	//Golden Devil
120       *           *           495            *            *         	0	0	0	0	0	//Golden Stone Golem
121       *           *           496            *            *         	0	0	0	0	0	//Golden Crust
122       *           *           497            *            *         	0	0	0	0	0	//Golden Satyros
123       *           *           498            *            *         	0	0	0	0	0	//Golden Twin Tail
124       *           *           499            *            *         	0	0	0	0	0	//Golden Iron Knight
125       *           *           500            3            *         	0	0	0	0	0	//Golden Napin
126       *           *           501            *            *         	0	0	0	0	0	//Golden Great Dragon
127       *           *           *              *            60         	0	0	0	0	0	//Online Lottery 
128       *           *           *              *            61         	0	0	0	0	0	//Gift System
129       *           *           *              *            62         	0	0	0	0	0	//Battle Royale
130       *           *           *              *            63         	0	0	0	0	0	//Team Vs Team 
131       *           *           *              *            64         	0	0	0	0	0	//Guild Vs Guild 
132       *           *           *              *            65         	0	0	0	0	0	//Hide and Seek 
133       *           *           *              *            66         	0	0	0	0	0	//Run and Catch
134       *           *           *              *            67         	0	0	0	0	0	//Russian Roulette
135       *           *           *              *            68         	0	0	0	0	0	//Player vs Player
136       *           *           *              *            69         	0	0	0	0	0	//Kill All Rank 1
137       *           *           *              *            70         	0	0	0	0	0	//Kill All Rank 2
138       *           *           *              *            71         	0	0	0	0	0	//Kill All Rank 3
139       *           *           *              *            72         	0	0	0	0	0	//King of Mu Guild players
140       *           *           *              *            73         	0	0	0	0	0	//King of Mu Top player 1
141       *           *           *              *            74         	0	0	0	0	0	//King of Mu Top player 2
142       *           *           *              *            75         	0	0	0	0	0	//King of Mu Top player 3
143       *           *           *              *            76         	0	0	0	0	0	//King of Mu Top player 4
144       *           *           *              *            77         	0	0	0	0	0	//King of Mu Top player 5
145       *           *           *              *            78         	2	2	0	0	0	//Devil Square 1
146       *           *           *              *            79        	2	2	0	0	0	//Devil Square 2
147       *           *           *              *            80         	2	2	0	0	0	//Devil Square 3
148       *           *           *              *            81         	2	2	0	0	0	//Devil Square 4
149       *           *           *              *            82         	2	2	0	0	0	//Devil Square 5
150       *           *           *              *            83         	2	2	0	0	0	//Devil Square 6
151       *           *           *              *            84         	2	2	0	0	0	//Devil Square 7
152       *           *           *              *            85         	0	0	0	0	0	//Quickly Event
153       *           *           *              *            86         	2	6	0	0	0	//Reset Reward
154       *           *           *              *            87         	2	7	0	0	0	//Master Reset Reward
155       *           *           *              *            88         	2	8	0	0	0	//Online Reward 1
156       *           *           *              *            89         	2	8	0	0	0	//Online Reward 2
157       *           *           *              *            90         	2	8	0	0	0	//Online Reward 3
158       *           *           *              *            91         	2	9	0	0	0	//Marathon Event 1
159       *           *           *              *            92         	2	9	0	0	0	//Marathon Event 2
160       *           *           *              *            93         	2	9	0	0	0	//Marathon Event 3
161       *           *           *              *            94         	2	9	0	0	0	//PvpChampionship Final
162       *           *           *              *            95         	2	9	0	0	0	//PvpChampionship Round
200       *           *           *              *            200         	2	0	0	0	0	//Chaos mix 1
end
